training_iteration,timesteps_total,timesteps_this_iter,episodes_total,episodes_this_iter,episode_len_mean,episode_reward_mean,episode_reward_min,episode_reward_max,success_mean,success_phase1_mean,success_qtr_mean,full_success_mean,phase2_started_mean,nav_hits_mean_mean,nav_hits_r0_mean,nav_hits_r1_mean,dual_stagnation_steps_mean,entropy,policy_loss,vf_loss,vf_explained_var,kl,cur_kl_coeff,entropy_coeff_used,iter_time_s,wall_time_s_total
1,6778,0,11,11,616.1818181818181,875.9635746866464,164.575691602936,2067.5054107556657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.910627880186405,-0.0030625952418700283,1.7361069287893907,-0.028385301918353676,0.010346345649977249,0.01,0.0199,182.58876008703373,182.58876008703373
2,13379,6601,22,11,608.1363636363636,893.9232888056645,57.75856556345278,2067.5054107556657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9642317386773915,-2.5001684060463537e-05,1.6430939461176213,0.003759981691837311,0.012578086067396028,0.009999999999999998,0.019800500000000002,169.23941232683137,351.8281724138651
3,19895,6516,33,11,602.8787878787879,952.2042370972774,-28.26098450444036,2692.3295954868486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9891803317070007,-0.0016727167516946792,1.8382572093009948,0.0529941189289093,0.010916080571681969,0.01,0.0197014975,165.73023805511184,517.558410468977
4,26256,6361,44,11,596.7272727272727,845.2794208016537,-122.46127873670126,2692.3295954868486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.181755010935725,-0.0019150899438073442,1.897110235204502,-0.036268063224091825,0.014688754618097807,0.01,0.0196029900125,160.4631813170854,678.0215917860623
5,32996,6740,55,11,599.9272727272727,885.4903019499917,-122.46127873670126,2775.462773521312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1180291315294664,-0.004611570487800493,1.7336256798708214,0.04880895828301052,0.019630122847785366,0.01,0.0195049750624375,169.53859822102822,847.5601900070906
6,39486,6490,67,12,589.3432835820895,879.5148679232315,-149.76075593145006,2775.462773521312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1744093046188353,-0.001715426245238632,1.739657854795456,0.03324381375312805,0.010265295602472203,0.01,0.01940745018712531,163.80571869504638,1011.365908702137
7,45953,6467,79,12,581.6835443037975,913.3651580153677,-149.76075593145006,2775.462773521312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0613409234028235,-0.003031929953060314,1.7069685398363599,0.038903479833228914,0.01368747546898081,0.009999999999999998,0.019310412936189684,162.33168241102248,1173.6975911131594
8,52390,6437,90,11,582.1111111111111,894.0733360985465,-149.76075593145006,2775.462773521312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3632379209294037,-0.004636527741711367,1.6799271945859873,0.08125031625523287,0.018509836365068224,0.009999999999999998,0.019213860871508736,167.14743920904584,1340.8450303222053
9,58890,6500,100,10,588.9,911.6019004118416,-149.76075593145006,2775.462773521312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.364238126605165,-0.0012685013651920884,1.6865347965090882,0.023435746220981372,0.011035856997536701,0.009999999999999998,0.019117791567151193,163.21079948707484,1504.05582980928
10,65497,6607,113,13,574.71,959.1330984993759,-149.76075593145006,2775.462773521312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0726302754645256,-0.003135713353278298,1.8207361847746606,0.004650344801884071,0.012123869417797247,0.009999999999999998,0.019022202609315437,166.01250754785724,1670.0683373571374
11,71941,6444,124,11,572.62,948.2153178654853,-156.62527036952514,2775.462773521312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62214947681801,-0.002011356065414992,1.7085293875021093,0.33227243622144065,0.01652004237646055,0.009999999999999998,0.01892709159626886,162.3945799509529,1832.4629173080903
12,78161,6220,134,10,577.66,943.0677767393773,-156.62527036952514,2775.462773521312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.181232917308807,-0.0029548192634441268,1.7491716797153154,0.12869933483501275,0.01361149962367567,0.01,0.018832456138287518,156.8084357259795,1989.2713530340698
13,84759,6598,145,11,582.63,955.7568756877786,-156.62527036952514,2775.462773521312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8896485232389892,-0.0016300648784426113,1.6262577524551978,0.2755835181245437,0.013930582419250437,0.009999999999999998,0.01873829385759608,169.84628969500773,2159.1176427290775
14,91494,6735,156,11,578.48,934.4792523877385,-202.436393391948,2731.1945396968813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8559901336453994,-0.0011422169733054514,1.69055944568706,0.2022390935780867,0.011417052556309988,0.01,0.0186446023883081,171.72250364511274,2330.84014637419
15,98047,6553,167,11,585.61,920.7888883242787,-202.436393391948,2731.1945396968813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8726736508882964,-0.0028840690358685186,1.6285502365002265,0.23807559070678858,0.012616256271058564,0.009999999999999998,0.01855137937636656,165.90684369392693,2496.746990068117
16,104232,6185,177,10,589.15,898.7148273140256,-202.436393391948,2731.1945396968813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6497480806039304,-0.0049517458988999835,1.736895674588729,0.22272275856563023,0.018818748292480012,0.01,0.018458622479484727,156.7233154741116,2653.4703055422287
17,110827,6595,188,11,597.37,901.8481398892084,-276.2330977624672,2731.1945396968813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.843617967917369,-0.003315439611637535,1.777387400315358,0.19473403554696303,0.014246705373226769,0.009999999999999998,0.018366329367087302,165.687713121064,2819.1580186632928
